order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
53,105,Mary Jane,235,VR Headset,Electronics,Internet Banking,-41,9480,2021-10-17 00:30:51,UK,London,www.tatacliq.com,28631,Y,
54,128,Neo,248,Socks,Clothing,Wallet,19,3691,2021-09-16 00:38:46,UK,London,www.flipkart.com,43620,Y,
55,158,Neo,214,Pressure Cooker,Home & Kitchen,Wallet,1,8954,2021-10-13 10:05:18,Australia,Sydney,www.ebay.in,30176,N,Invalid CVV
56,158,John Smith,203,Pens,Stationery,UPI,22,7456,2022-03-31 03:12:11,UK,Manchester,www.ebay.in,87024,Y,
57,112,John Smith,287,External Hard Drive,Electronics,Internet Banking,28,6235,2022-12-26 01:22:25,India,Mumbai,www.ebay.in,66682,Y,
58,114,Mary Jane,295,Sticky Notes,Stationery,Internet Banking,10,5205,2023-05-21 03:28:23,Germany,Hamburg,www.ebay.in,41467,N,Invalid CVV
59,200,Mary Jane,261,Suits,Clothing,UPI,2,3060,2023-06-29 05:58:23,India,Indore,www.amazon.com,85353,Y,
60,128,Mary Jane,213,Biography,Books,Internet Banking,22,498,2021-02-14 01:39:01,India,Mumbai,www.amazon.com,92818,N,Insufficient Funds
61,178,Joe Smith,272,Cutlery,Home & Kitchen,Wallet,50,355,2022-10-09 21:37:53,UK,Oxford,www.tatacliq.com,20686,N,Insufficient Funds
62,124,John Smith,266,Stapler,Stationery,Internet Banking,36,7624,2023-11-17 02:15:42,USA,New York,www.amazon.com,90286,Y,
63,117,Trinity,226,Smart TV,Electronics,Wallet,6,9485,2022-01-01 06:30:41,Germany,Hamburg,www.amazon.com,48682,N,Timeout
64,111,Trinity,288,Chopping Board,Home & Kitchen,Wallet,1,6319,2021-03-25 12:22:04,Germany,Hamburg,www.flipkart.com,75013,Y,
65,194,Neo,241,Socks,Clothing,Wallet,9,4912,2021-06-23 17:16:21,UK,Oxford,www.amazon.com,48784,Y,
66,131,Mary Jane,215,Skirts,Clothing,Wallet,4,1276,2022-06-01 05:03:14,USA,Boston,www.tatacliq.com,16496,N,Invalid CVV
67,193,Neo,297,Dish Rack,Home & Kitchen,Wallet,12,2313,2023-05-03 16:38:00,Germany,Munich,www.flipkart.com,45355,Y,
68,144,Trinity,262,Sportswear,Clothing,UPI,32,5501,2022-09-17 14:52:17,India,Bengaluru,www.flipkart.com,15395,Y,
69,163,Joe Smith,248,Plates,Home & Kitchen,UPI,16,9918,2023-03-14 11:33:34,Germany,Hamburg,www.amazon.com,32253,N,Timeout
70,192,Joe Smith,216,Stapler,Stationery,UPI,40,3275,2022-01-06 17:58:41,Germany,Hamburg,www.tatacliq.com,70742,N,Timeout
71,137,Joe Smith,241,Kitchen Scale,Home & Kitchen,Card,41,9000,2023-12-09 17:53:18,Germany,Hamburg,www.ebay.in,71770,N,Insufficient Funds
72,126,Neo,234,Coats,Clothing,Wallet,23,4447,2021-06-17 15:12:44,India,Mumbai,www.amazon.com,54693,N,Timeout
73,162,Joe Smith,269,Sweaters,Clothing,Internet Banking,31,4740,2023-03-27 04:57:25,Germany,Berlin,www.ebay.in,91375,N,Invalid CVV
74,182,Joe Smith,217,Bluetooth Earbuds,Electronics,Internet Banking,25,6040,2021-08-05 08:04:04,India,Indore,www.flipkart.com,12688,N,Insufficient Funds
75,137,Joe Smith,291,Chopping Board,Home & Kitchen,Wallet,35,3375,2022-07-28 22:10:09,Germany,Hamburg,www.flipkart.com,14306,N,Timeout
76,154,John Smith,258,Whiteboard Markers,Stationery,UPI,10,2232,2023-07-23 02:17:04,USA,Boston,www.amazon.com,94613,Y,
77,163,Trinity,286,Measuring Cups,Home & Kitchen,UPI,18,9527,2022-08-20 05:10:23,UK,Oxford,www.amazon.com,18118,N,Insufficient Funds
78,159,Joe Smith,278,Calculator,Stationery,Wallet,20,3323,2021-04-23 00:16:55,Australia,Brisbane,www.flipkart.com,95345,N,Timeout
79,180,John Smith,273,Oven Mitts,Home & Kitchen,UPI,23,2091,2023-03-30 23:16:44,UK,London,www.amazon.com,80648,Y,
80,174,John Smith,230,Wireless Router,Electronics,Card,14,9038,2023-01-28 03:53:59,Germany,Munich,www.flipkart.com,75356,N,Timeout
81,187,,275,Pens,Stationery,Wallet,43,9345,2022-11-05 06:37:56,UK,Manchester,www.ebay.in,11972,N,Insufficient Funds
82,178,John Smith,248,Drone,Electronics,UPI,41,7182,2021-10-04 02:58:30,India,Mumbai,www.tatacliq.com,20358,N,Invalid CVV
83,142,Trinity,227,Travel Books,Books,Internet Banking,15,2282,2023-02-01 12:56:04,UK,Manchester,www.amazon.com,75146,Y,
84,136,Trinity,211,Skirts,Clothing,Wallet,5,1429,2022-01-13 15:26:21,UK,London,www.amazon.com,27336,N,Insufficient Funds
85,167,John Smith,235,Fitness Tracker,Electronics,Internet Banking,50,6700,2023-11-13 04:01:17,India,Indore,www.ebay.in,81044,Y,
86,155,Joe Smith,221,Calculator,Stationery,Wallet,24,2039,2023-01-03 20:23:50,UK,Oxford,www.flipkart.com,86770,N,Invalid CVV
87,150,John Smith,234,VR Headset,Electronics,Wallet,29,3391,2023-06-06 18:35:11,Germany,Berlin,www.tatacliq.com,75436,Y,
88,120,Joe Smith,234,Laptop,Electronics,Wallet,42,1153,2022-02-05 20:42:19,Australia,Sydney,www.amazon.com,94452,N,Timeout
89,136,Mary Jane,287,Notebook,Stationery,Internet Banking,47,6469,2021-04-13 20:11:25,Australia,Sydney,www.flipkart.com,74835,Y,
90,102,Mary Jane,204,Shoes,Clothing,UPI,35,804,2023-09-12 13:59:32,India,Mumbai,www.amazon.com,93735,N,Timeout
91,144,Joe Smith,203,Notebook,Stationery,UPI,5,9675,2023-05-07 22:36:00,India,Indore,www.tatacliq.com,30663,Y,
92,188,Trinity,226,Tape,Stationery,Internet Banking,47,3397,2021-12-21 23:53:39,India,Bengaluru,www.ebay.in,57168,Y,
93,154,Trinity,206,Blender,Home & Kitchen,Wallet,38,181,2021-05-07 21:03:40,India,Indore,www.flipkart.com,80572,Y,
94,105,Joe Smith,230,Classics,Books,UPI,35,2928,2022-10-07 20:54:58,India,Bengaluru,www.flipkart.com,11422,N,Insufficient Funds
95,142,John Smith,259,Non-fiction,Books,Wallet,24,9996,2022-04-25 19:26:28,India,Bengaluru,www.amazon.com,24396,Y,
96,103,Joe Smith,215,Portable Charger,Electronics,UPI,34,3741,2023-08-02 05:28:45,USA,Chicago,www.flipkart.com,53891,Y,
97,101,John Smith,207,Monitor,Electronics,Internet Banking,24,8793,2022-07-08 00:44:31,Australia,Melbourne,www.amazon.com,22404,Y,
98,120,Neo,251,Memoir,Books,Invalid,10,6560,2021-10-08 08:14:35,India,Mumbai,www.amazon.com,69860,N,Insufficient Funds
99,171,Mary Jane,211,Skirts,Clothing,Invalid,22,2257,2021-03-23 07:02:34,USA,New York,www.ebay.in,76085,N,Invalid CVV
100,130,John Smith,201,Historical Fiction,Books,UPI,45,1083,2021-07-11 15:06:41,Germany,Berlin,www.tatacliq.com,96020,Y,
101,126,John Smith,298,Nightwear,Clothing,Wallet,38,2570,2021-01-15 22:28:02,Germany,Berlin,www.tatacliq.com,43795,N,Timeout
102,154,Mary Jane,290,Glue Stick,Stationery,UPI,24,8487,2023-06-19 20:41:57,UK,Oxford,www.tatacliq.com,98854,Y,
103,122,Neo,237,Pants,Clothing,Card,39,5095,2023-06-03 08:29:34,USA,Chicago,www.flipkart.com,86931,N,Insufficient Funds
104,195,Joe Smith,218,Glue Stick,Stationery,Wallet,42,8763,2023-06-09 00:53:44,USA,New York,www.flipkart.com,21281,N,Insufficient Funds
105,164,Joe Smith,258,Textbooks,Books,Internet Banking,10,9752,2022-10-25 08:39:14,UK,London,www.flipkart.com,30107,N,Timeout
106,151,Neo,234,USB Flash Drive,Electronics,Wallet,18,6722,2022-03-09 05:05:21,Germany,Munich,www.flipkart.com,15480,N,Invalid CVV
107,140,Joe Smith,216,Graphic Novels,Books,Card,25,8120,2021-07-30 03:55:20,India,Indore,www.flipkart.com,96796,Y,
108,123,John Smith,285,Scissors,Stationery,UPI,35,3608,2022-10-25 19:02:29,India,Indore,www.flipkart.com,11027,N,Invalid CVV
109,160,Joe Smith,229,Mixing Bowls,Home & Kitchen,Internet Banking,20,9522,2021-02-14 16:16:56,UK,Manchester,www.amazon.com,35602,N,Insufficient Funds
110,109,Trinity,257,Mystery,Books,Internet Banking,17,8731,2023-11-13 22:01:45,India,Indore,www.flipkart.com,83853,N,Invalid CVV
111,168,Joe Smith,252,Historical Fiction,Books,Wallet,9,3041,2022-12-01 01:04:49,UK,Manchester,www.ebay.in,90466,Y,
112,108,Trinity,292,Smartwatch,Electronics,Internet Banking,43,9036,2023-03-01 22:16:26,Germany,Hamburg,www.amazon.com,35544,N,Invalid CVV
113,109,Joe Smith,241,Travel Books,Books,UPI,12,2865,2022-10-15 16:14:43,UK,Manchester,www.flipkart.com,14706,Y,
114,185,Joe Smith,221,Pencils,Stationery,UPI,7,2657,2021-10-29 21:45:36,Germany,Munich,www.tatacliq.com,40156,N,Timeout
115,197,Joe Smith,209,Pencils,Stationery,Wallet,2,6411,2023-03-10 19:58:03,India,Indore,www.tatacliq.com,69259,N,Timeout
116,177,Joe Smith,271,Monitor,Electronics,Card,3,8606,2023-12-16 11:36:02,Germany,Munich,www.amazon.com,47478,N,Timeout
117,146,John Smith,299,Laptop,Electronics,Internet Banking,3,9332,2021-12-23 00:45:57,Germany,Munich,www.tatacliq.com,12722,N,Insufficient Funds
118,191,Mary Jane,257,Stapler,Stationery,Card,29,8577,2021-04-30 06:00:41,UK,Manchester,www.tatacliq.com,70302,Y,
119,175,John Smith,267,Pencils,Stationery,Internet Banking,-48,6853,2023-07-05 08:30:36,UK,Manchester,www.tatacliq.com,95428,Y,
120,151,Mary Jane,270,Drone,Electronics,Wallet,34,8038,2021-11-02 12:06:51,USA,Chicago,www.amazon.com,89662,N,Insufficient Funds
121,147,Neo,211,Tape,Stationery,Wallet,23,1601,2022-01-31 19:58:37,USA,Chicago,www.amazon.com,39287,Y,
122,146,Mary Jane,208,Binder,Stationery,UPI,30,8853,2022-09-02 02:12:40,Australia,Sydney,www.amazon.com,42374,N,Invalid CVV
123,162,Mary Jane,256,Fitness Tracker,Electronics,Card,40,5706,2021-06-29 18:39:54,UK,Oxford,www.tatacliq.com,91825,N,Insufficient Funds
124,123,Joe Smith,272,Oven Mitts,Home & Kitchen,Card,6,4208,2023-09-25 22:38:43,USA,Chicago,www.tatacliq.com,54158,N,Insufficient Funds
125,143,John Smith,215,Mugs,Home & Kitchen,UPI,26,2136,2022-10-22 16:22:38,USA,Chicago,www.flipkart.com,95580,N,Timeout
126,141,Mary Jane,240,Mugs,Home & Kitchen,UPI,-25,3754,2022-09-27 03:28:53,Australia,Melbourne,www.tatacliq.com,34642,Y,
127,151,Neo,277,Comics,Books,UPI,46,1897,2022-09-26 14:55:55,UK,Oxford,www.tatacliq.com,49626,Y,
128,198,Joe Smith,228,Plates,Home & Kitchen,Card,3,3810,2022-09-23 11:14:43,USA,Chicago,www.flipkart.com,35615,N,Invalid CVV
129,172,Neo,200,Blouses,Clothing,Internet Banking,37,9083,2023-01-01 00:00:00,Australia,Sydney,www.flipkart.com,76434,Y,
130,107,Joe Smith,218,Young Adult,Books,Card,39,7659,2023-03-15 02:21:05,Germany,Hamburg,www.ebay.in,21870,Y,
131,137,Joe Smith,257,Coffee Maker,Home & Kitchen,Wallet,40,4258,2023-10-25 04:34:14,USA,Chicago,www.flipkart.com,27261,Y,
132,121,Joe Smith,257,Children's Books,Books,Internet Banking,20,8984,2023-10-23 06:21:04,Germany,Hamburg,www.amazon.com,97361,N,Invalid CVV
133,130,Trinity,238,Portable Charger,Electronics,UPI,2,195,2023-08-23 23:30:19,UK,London,www.ebay.in,24236,N,Insufficient Funds
134,114,John Smith,226,Glue Stick,Stationery,Invalid,13,7418,2021-06-30 13:26:06,UK,Oxford,www.flipkart.com,44675,N,Timeout
135,146,Mary Jane,265,Biography,Books,Internet Banking,34,4516,2023-07-08 19:35:42,Germany,Munich,www.ebay.in,96951,Y,
136,112,Joe Smith,263,Science Fiction,Books,Internet Banking,37,9176,2022-07-31 07:05:54,UK,London,www.amazon.com,17793,N,Invalid CVV
137,110,Mary Jane,293,Oven Mitts,Home & Kitchen,UPI,7,4649,2021-03-12 21:38:19,UK,London,www.amazon.com,61717,Y,
138,170,Trinity,296,Textbooks,Books,Card,32,5053,2023-01-01 00:00:00,UK,Manchester,www.tatacliq.com,28978,Y,
139,195,Neo,204,Smartphone,Electronics,Card,8,27,2022-10-27 06:47:53,Germany,Munich,www.tatacliq.com,65767,N,Insufficient Funds
140,174,Trinity,274,Oven Mitts,Home & Kitchen,UPI,14,8747,2022-04-06 14:43:03,USA,New York,www.tatacliq.com,39067,N,Timeout
141,145,Neo,286,Self-Help,Books,Wallet,-30,2346,2023-12-04 18:02:35,UK,Manchester,www.flipkart.com,69889,Y,
142,183,John Smith,263,Young Adult,Books,Invalid,8,2259,2022-04-07 18:06:11,Germany,Berlin,www.ebay.in,78327,Y,
143,200,Trinity,213,Bluetooth Speaker,Electronics,Card,6,3386,2023-12-18 02:01:34,Australia,Sydney,www.tatacliq.com,14603,N,Insufficient Funds
144,147,Trinity,234,Camera,Electronics,Internet Banking,2,6013,2021-06-06 16:29:59,Germany,Munich,www.flipkart.com,84599,N,Invalid CVV
145,150,John Smith,259,Portable Charger,Electronics,Internet Banking,15,2436,2023-01-11 03:58:33,UK,Manchester,www.ebay.in,37057,N,Invalid CVV
146,162,Trinity,279,Smartphone,Electronics,UPI,4,4826,2023-12-19 12:46:20,Australia,Brisbane,www.flipkart.com,87188,N,Invalid CVV
147,137,Neo,247,Skirts,Clothing,Card,47,5710,2021-03-22 06:31:03,Australia,Melbourne,www.tatacliq.com,10891,N,Timeout
148,155,Neo,234,VR Headset,Electronics,Internet Banking,37,4033,2022-06-21 21:49:43,Germany,Munich,www.amazon.com,86832,Y,
149,174,,202,Comics,Books,UPI,27,4551,2023-02-02 17:08:03,Germany,Berlin,www.ebay.in,86999,N,Insufficient Funds
150,187,Mary Jane,251,Cutlery,Home & Kitchen,Wallet,7,7801,2022-03-31 22:55:28,India,Mumbai,www.flipkart.com,78729,N,Invalid CVV
151,104,Mary Jane,207,Scissors,Stationery,Wallet,30,6522,2021-05-06 21:40:00,Germany,Munich,www.tatacliq.com,71034,N,Invalid CVV
152,109,Mary Jane,285,Toaster,Home & Kitchen,Wallet,1,4191,2021-10-05 17:26:34,Australia,Melbourne,www.tatacliq.com,86454,N,Invalid CVV
153,105,John Smith,264,Markers,Stationery,UPI,10,7531,2022-10-10 23:10:25,USA,New York,www.flipkart.com,44684,Y,
154,188,John Smith,271,Poetry,Books,Wallet,5,2606,2022-06-03 07:44:59,Australia,Melbourne,www.amazon.com,83379,N,Invalid CVV
155,172,Trinity,236,Science Fiction,Books,UPI,48,8059,2023-10-24 00:45:53,India,Mumbai,www.tatacliq.com,26700,N,Invalid CVV
156,186,Joe Smith,298,Scarves,Clothing,UPI,50,7214,2022-10-31 11:38:53,Germany,Hamburg,www.amazon.com,10964,Y,
157,121,,276,Pressure Cooker,Home & Kitchen,Internet Banking,18,5026,2022-09-15 12:30:25,UK,Oxford,www.ebay.in,80159,N,Timeout
158,196,Mary Jane,251,Sticky Notes,Stationery,Internet Banking,45,3827,2023-01-01 00:00:00,USA,Boston,www.flipkart.com,66345,Y,
159,127,Mary Jane,272,Microwave,Home & Kitchen,UPI,17,6516,2021-01-31 18:52:57,UK,Manchester,www.flipkart.com,57041,Y,
160,152,John Smith,203,Fitness Tracker,Electronics,Internet Banking,30,9846,2021-02-20 15:26:52,Australia,Brisbane,www.amazon.com,58168,Y,
161,136,Neo,232,Textbooks,Books,Wallet,25,1047,2023-06-15 03:28:39,Australia,Brisbane,www.amazon.com,13535,N,Invalid CVV
162,132,Neo,230,Hats,Clothing,Internet Banking,10,4371,2023-09-17 00:13:09,India,Mumbai,www.amazon.com,11596,Y,
163,197,John Smith,300,Stapler,Stationery,Card,25,2795,2023-02-28 14:18:30,India,Bengaluru,www.tatacliq.com,14021,Y,
164,166,Trinity,252,Whiteboard Markers,Stationery,Wallet,39,647,2023-03-28 05:32:56,Germany,Munich,www.flipkart.com,34673,N,Timeout
165,177,Mary Jane,216,Sticky Notes,Stationery,Wallet,22,2322,2021-08-10 20:50:14,Germany,Munich,www.ebay.in,62316,N,Invalid CVV
166,192,Joe Smith,237,Travel Books,Books,UPI,26,7691,2023-05-16 18:43:44,Germany,Berlin,www.amazon.com,93660,N,Timeout
167,190,,271,External Hard Drive,Electronics,Card,44,5616,2021-05-27 13:10:18,Australia,Brisbane,www.flipkart.com,36487,Y,
168,156,Joe Smith,244,Bluetooth Earbuds,Electronics,Wallet,39,4508,2023-02-06 17:22:41,Germany,Hamburg,www.amazon.com,40677,N,Invalid CVV
169,157,Joe Smith,276,Kitchen Scale,Home & Kitchen,Wallet,22,6697,2023-09-20 13:21:25,UK,London,www.flipkart.com,25521,Y,
170,134,Mary Jane,242,Jackets,Clothing,Card,29,8491,2021-12-01 13:52:42,UK,London,www.tatacliq.com,82193,Y,
171,178,Neo,265,Oven Mitts,Home & Kitchen,UPI,26,9818,2021-09-15 18:52:30,Germany,Berlin,www.tatacliq.com,15563,N,Insufficient Funds
172,109,Joe Smith,235,Microwave,Home & Kitchen,Card,36,7788,2023-11-01 16:04:28,Australia,Brisbane,www.flipkart.com,88595,Y,
173,164,John Smith,263,Self-Help,Books,Internet Banking,12,7450,2023-08-27 02:15:05,UK,Oxford,www.flipkart.com,13686,Y,
174,157,Joe Smith,278,Glue Stick,Stationery,Card,43,2679,2021-02-20 18:27:06,UK,Manchester,www.tatacliq.com,89340,Y,
175,106,Joe Smith,268,Sportswear,Clothing,UPI,36,8284,2022-10-29 18:30:31,Germany,Munich,www.tatacliq.com,73235,Y,
176,171,Joe Smith,219,Bluetooth Speaker,Electronics,Wallet,34,9284,2021-01-25 21:48:27,USA,New York,www.flipkart.com,67261,N,Timeout
177,170,Neo,248,Toaster,Home & Kitchen,Card,41,9003,2022-02-26 18:07:56,Australia,Melbourne,www.ebay.in,77003,N,Invalid CVV
178,166,Neo,201,Jackets,Clothing,Internet Banking,8,7614,2022-10-04 19:03:55,Germany,Munich,www.ebay.in,29539,N,Invalid CVV
179,152,Trinity,222,Whiteboard Markers,Stationery,Card,25,2942,2023-07-26 07:17:05,USA,New York,www.ebay.in,89617,N,Timeout
180,172,Joe Smith,241,Smart TV,Electronics,UPI,21,274,2021-01-14 01:44:22,USA,Chicago,www.flipkart.com,55599,Y,
181,155,John Smith,237,Wireless Router,Electronics,Wallet,31,9008,2022-05-02 04:47:22,USA,New York,www.tatacliq.com,31650,N,Timeout
182,167,Mary Jane,252,Jackets,Clothing,Internet Banking,27,6612,2021-10-12 06:31:25,India,Mumbai,www.tatacliq.com,12929,Y,
183,159,,233,Self-Help,Books,Internet Banking,22,114,2023-03-11 09:02:52,USA,New York,www.flipkart.com,72839,Y,
184,200,Neo,275,Chopping Board,Home & Kitchen,Wallet,31,3705,2022-02-14 12:44:25,Germany,Munich,www.flipkart.com,29638,Y,
185,118,Neo,216,Monitor,Electronics,Card,15,9583,2022-10-29 11:03:06,Germany,Hamburg,www.flipkart.com,90885,Y,
186,162,Mary Jane,294,Cookbooks,Books,Wallet,42,735,2023-01-12 23:10:15,India,Mumbai,www.amazon.com,66553,Y,
187,121,John Smith,222,Cutlery,Home & Kitchen,Wallet,49,4301,2021-06-18 04:33:19,USA,Boston,www.ebay.in,93911,Y,
188,146,Joe Smith,273,USB Flash Drive,Electronics,Wallet,7,7205,2023-05-04 11:38:20,Germany,Munich,www.ebay.in,43141,N,Invalid CVV
189,164,Joe Smith,225,Travel Books,Books,UPI,32,4325,2021-09-30 13:11:36,USA,Boston,www.tatacliq.com,74667,Y,
190,164,Neo,233,Mugs,Home & Kitchen,UPI,7,7776,2022-07-15 20:21:02,USA,New York,www.flipkart.com,60569,N,Timeout
191,155,Trinity,206,Dish Rack,Home & Kitchen,Wallet,6,7603,2021-04-14 04:22:57,India,Mumbai,www.amazon.com,85889,N,Timeout
